frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
13,0.542,8,28.0,14.0,0.0,0.0,Green
13,0.542,9,4.0,-5.0,0.0,0.0,Green
13,0.542,10,4.0,-8.0,0.0,0.0,Green
13,0.542,11,7.0,-3.0,0.0,0.0,Green
13,0.542,12,7.0,1.0,0.0,0.0,Green
13,0.542,13,6.0,0.0,0.0,0.0,Green
13,0.542,14,3.0,3.0,0.0,0.0,Green
13,0.542,15,1.0,-2.0,0.0,0.0,Green
14,0.584,0,12.0,9.0,0.0,0.0,Green
14,0.584,1,14.0,-9.0,0.0,0.0,Green
14,0.584,2,5.0,3.0,0.0,0.0,Green
14,0.584,3,5.0,-2.0,0.0,0.0,Green
14,0.584,4,19.0,-12.0,0.0,0.0,Green
14,0.584,5,13.0,12.0,0.0,0.0,Green
14,0.584,6,22.0,-7.0,0.0,0.0,Green
14,0.584,7,11.0,-8.0,0.0,0.0,Green
14,0.584,8,22.0,-6.0,0.0,0.0,Green
14,0.584,9,4.0,5.0,0.0,0.0,Green
14,0.584,10,4.0,4.0,0.0,0.0,Green
14,0.584,11,8.0,4.0,0.0,0.0,Green
14,0.584,12,8.0,1.0,0.0,0.0,Green
14,0.584,13,7.0,2.0,0.0,0.0,Green
14,0.584,14,3.0,-2.0,0.0,0.0,Green
14,0.584,15,1.0,1.0,0.0,0.0,Green
15,0.626,0,17.0,6.0,0.0,0.0,Green
15,0.626,1,15.0,9.0,0.0,0.0,Green
15,0.626,2,3.0,-3.0,0.0,0.0,Green
15,0.626,3,6.0,3.0,0.0,0.0,Green
15,0.626,4,22.0,12.0,0.0,0.0,Green
15,0.626,5,18.0,3.0,0.0,0.0,Green
15,0.626,6,17.0,-7.0,0.0,0.0,Green
15,0.626,7,10.0,4.0,0.0,0.0,Green
15,0.626,8,29.0,13.0,0.0,0.0,Green
15,0.626,9,10.0,6.0,0.0,0.0,Green
15,0.626,10,7.0,3.0,0.0,0.0,Green
15,0.626,11,9.0,0.0,0.0,0.0,Green
15,0.626,12,10.0,1.0,0.0,0.0,Green
15,0.626,13,7.0,-1.0,0.0,0.0,Green
15,0.626,14,4.0,1.0,0.0,0.0,Green
15,0.626,15,1.0,0.0,0.0,0.0,Green
16,0.667,0,27.0,5.0,0.0,0.0,Green
16,0.667,1,27.0,11.0,0.0,0.0,Green
16,0.667,2,4.0,3.0,0.0,0.0,Green
16,0.667,3,6.0,-1.0,0.0,0.0,Green
16,0.667,4,22.0,-3.0,0.0,0.0,Green
16,0.667,5,16.0,-7.0,0.0,0.0,Green
